#{"t_start": 1734861099.673124, "env_id": "ContinuousCartPole-v0"}
r,l,t
32.0,32,0.191888
39.0,39,0.195973
43.0,43,0.329966
61.0,61,0.695183
24.0,24,0.845434
32.0,32,1.036126
33.0,33,1.230103
36.0,36,1.443085
51.0,51,1.744864
52.0,52,2.053156
47.0,47,2.328263
30.0,30,2.506283
48.0,48,2.800907
41.0,41,3.04645
74.0,74,3.491758
36.0,36,3.703442
140.0,140,4.549384
31.0,31,4.732494
37.0,37,4.961753
29.0,29,5.131921
35.0,35,5.340633
34.0,34,5.542319
36.0,36,5.751882
46.0,46,6.026122
63.0,63,6.406649
40.0,40,6.643294
32.0,32,6.835284
73.0,73,7.268967
62.0,62,7.64138
50.0,50,7.938204
27.0,27,8.097804
30.0,30,8.276507
26.0,26,8.435598
28.0,28,8.598999
40.0,40,8.839979
32.0,32,9.037721
39.0,39,9.271875
40.0,40,9.508835
43.0,43,9.762539
37.0,37,9.982133
38.0,38,10.208966
33.0,33,10.403767
41.0,41,10.645184
45.0,45,10.911535
58.0,58,11.265278
40.0,40,11.502871
28.0,28,11.666021
37.0,37,11.883247
40.0,40,12.122503
26.0,26,12.275157
30.0,30,12.461696
30.0,30,12.638377
33.0,33,12.838249
33.0,33,13.04088
29.0,29,13.213033
59.0,59,13.563403
42.0,42,13.8161
41.0,41,14.061894
55.0,55,14.387048
35.0,35,14.594261
96.0,96,15.172313
31.0,31,15.355901
40.0,40,15.592013
79.0,79,16.057442
52.0,52,16.365219
38.0,38,16.589225
53.0,53,16.897931
40.0,40,17.175461
49.0,49,17.484202
49.0,49,17.774752
38.0,38,18.002306
85.0,85,18.506844
51.0,51,18.808243
45.0,45,19.07876
42.0,42,19.331164
70.0,70,19.74561
26.0,26,19.903595
55.0,55,20.226842
38.0,38,20.453721
36.0,36,20.664619
51.0,51,20.983602
36.0,36,21.20726
40.0,40,21.44406
39.0,39,21.673192
32.0,32,21.864383
37.0,37,22.083847
78.0,78,22.555145
70.0,70,22.992242
56.0,56,23.335505
50.0,50,23.630824
65.0,65,24.012445
33.0,33,24.209548
41.0,41,24.457873
53.0,53,24.775431
47.0,47,25.054993
81.0,81,25.57363
98.0,98,26.19595
43.0,43,26.452087
71.0,71,26.867584
108.0,108,27.509406
36.0,36,27.727359
70.0,70,28.174612
51.0,51,28.47891
45.0,45,28.742287
68.0,68,29.147013
40.0,40,29.38811
117.0,117,30.089175
53.0,53,30.40924
120.0,120,31.120543
60.0,60,31.480868
122.0,122,32.19872
175.0,175,33.234304
110.0,110,33.894925
228.0,228,35.261118
258.0,258,36.793929
313.0,313,38.664144
187.0,187,39.779327
211.0,211,41.021783
164.0,164,42.015203
386.0,386,44.442776
288.0,288,46.175561
237.0,237,47.574897
210.0,210,48.839438
234.0,234,50.235331
389.0,389,52.794051
276.0,276,54.577017
500.0,500,57.760309
330.0,330,59.727935
328.0,328,61.688283
500.0,500,64.657861
500.0,500,67.637262
432.0,432,70.180807
318.0,318,72.28534
500.0,500,75.374727
500.0,500,78.31837
290.0,290,80.019804
500.0,500,82.981938
349.0,349,85.029303
460.0,460,87.744841
432.0,432,90.285802
455.0,455,92.996101
500.0,500,95.927418
500.0,500,98.857503
363.0,363,100.9922
374.0,374,103.226275
394.0,394,105.535064
500.0,500,108.47754
392.0,392,110.782876
320.0,320,112.681086
375.0,375,114.917365
500.0,500,117.860577
500.0,500,120.801037
480.0,480,123.653578
385.0,385,125.914541
337.0,337,127.905622
407.0,407,130.299436
428.0,428,132.82562
420.0,420,135.285491
425.0,425,137.866803
446.0,446,140.561761
500.0,500,143.752684
497.0,497,147.17209
